2023-01-05 15:53:07,769 INFO    MainThread:83848 [wandb_setup.py:_flush():68] Configure stats pid to 83848
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_setup.py:_flush():68] Loading settings from /Users/danielsvendsen/.config/wandb/settings
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_setup.py:_flush():68] Loading settings from /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/15-53-06/wandb/settings
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/models/train_model_wandb.py', 'program': '/Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/src/models/train_model_wandb.py'}
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_init.py:_log_setup():476] Logging user logs to /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/15-53-06/wandb/run-20230105_155307-1o1j5616/logs/debug.log
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/15-53-06/wandb/run-20230105_155307-1o1j5616/logs/debug-internal.log
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_init.py:init():516] calling init triggers
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'_metadata': ContainerMetadata(ref_type=typing.Any, object_type=<class 'dict'>, optional=True, key='experiment', flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any), '_parent': {'experiment': {'datapath': '../../../data/processed', 'modelpath': '../../../models', 'reportspath': '../../../reports', 'batch_size': 16, 'lr': 0.001, 'n_epochs': 10, 'seed': 123}, 'wandb': {'project': 'oldboys_mnist', 'name': 'run1'}}, '_flags_cache': {'struct': True}, '_content': {'datapath': '../../../data/processed', 'modelpath': '../../../models', 'reportspath': '../../../reports', 'batch_size': 16, 'lr': 0.001, 'n_epochs': 10, 'seed': 123}}
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_init.py:init():569] starting backend
2023-01-05 15:53:07,770 INFO    MainThread:83848 [wandb_init.py:init():573] setting up manager
2023-01-05 15:53:07,781 INFO    MainThread:83848 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-05 15:53:07,783 INFO    MainThread:83848 [wandb_init.py:init():580] backend started and connected
2023-01-05 15:53:07,785 INFO    MainThread:83848 [wandb_init.py:init():658] updated telemetry
2023-01-05 15:53:07,803 INFO    MainThread:83848 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-05 15:53:08,393 INFO    MainThread:83848 [wandb_run.py:_on_init():2006] communicating current version
2023-01-05 15:53:08,531 INFO    MainThread:83848 [wandb_run.py:_on_init():2010] got version response 
2023-01-05 15:53:08,531 INFO    MainThread:83848 [wandb_init.py:init():728] starting run threads in backend
2023-01-05 15:53:11,081 INFO    MainThread:83848 [wandb_run.py:_console_start():1986] atexit reg
2023-01-05 15:53:11,081 INFO    MainThread:83848 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-05 15:53:11,081 INFO    MainThread:83848 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-05 15:53:11,081 INFO    MainThread:83848 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-05 15:53:11,081 INFO    MainThread:83848 [wandb_init.py:init():765] run started, returning control to user process
