2023-01-05 17:20:29,286 INFO    MainThread:91156 [wandb_setup.py:_flush():68] Configure stats pid to 91156
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_setup.py:_flush():68] Loading settings from /Users/danielsvendsen/.config/wandb/settings
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_setup.py:_flush():68] Loading settings from /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/17-20-28/wandb/settings
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/models/train_model_wandb.py', 'program': '/Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/src/models/train_model_wandb.py'}
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_init.py:_log_setup():476] Logging user logs to /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/17-20-28/wandb/run-20230105_172029-2a0yojxt/logs/debug.log
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/17-20-28/wandb/run-20230105_172029-2a0yojxt/logs/debug-internal.log
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_init.py:init():516] calling init triggers
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_init.py:init():569] starting backend
2023-01-05 17:20:29,287 INFO    MainThread:91156 [wandb_init.py:init():573] setting up manager
2023-01-05 17:20:29,297 INFO    MainThread:91156 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-05 17:20:29,300 INFO    MainThread:91156 [wandb_init.py:init():580] backend started and connected
2023-01-05 17:20:29,302 INFO    MainThread:91156 [wandb_init.py:init():658] updated telemetry
2023-01-05 17:20:29,319 INFO    MainThread:91156 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-05 17:20:29,799 INFO    MainThread:91156 [wandb_run.py:_on_init():2006] communicating current version
2023-01-05 17:20:30,052 INFO    MainThread:91156 [wandb_run.py:_on_init():2010] got version response 
2023-01-05 17:20:30,052 INFO    MainThread:91156 [wandb_init.py:init():728] starting run threads in backend
2023-01-05 17:20:32,708 INFO    MainThread:91156 [wandb_run.py:_console_start():1986] atexit reg
2023-01-05 17:20:32,708 INFO    MainThread:91156 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-05 17:20:32,708 INFO    MainThread:91156 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-05 17:20:32,708 INFO    MainThread:91156 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-05 17:20:32,709 INFO    MainThread:91156 [wandb_init.py:init():765] run started, returning control to user process
2023-01-05 17:20:32,742 INFO    MainThread:91156 [wandb_watch.py:watch():51] Watching
2023-01-05 17:20:51,030 WARNING MsgRouterThr:91156 [router.py:message_loop():77] message_loop has been closed
